date,domesticPrice,fobBangkok,fobHcmLowest,fobHcmHighest
2025-08-05,13.5,450,,
2025-08-19,13.5,450,,
2025-08-26,13.5,450,,
2025-09-02,13.4,445,,
2025-09-09,13.4,450,,
2025-09-16,13.4,450,,
2025-09-23,13.4,450,,
2025-09-30,13.4,450,,
2025-10-07,13.45,450,,
2025-10-14,13.45,450,,
2025-10-21,13.5,455,,
2025-10-28,13.5,455,,
2025-11-04,13.5,455,,
2025-11-11,13.6,460,,
2025-11-18,13.6,460,,
2025-11-25,13.7,465,,
2025-12-02,13.8,470,,
2025-12-09,13.9,470,,
2025-12-16,13.9,470,,
2025-12-23,14.1,480,380,400
2026-01-06,14.1,480,,
2026-01-13,14.2,480,,
2026-01-20,14.2,485,,
2026-01-27,14.25,490,,
2026-02-03,14.3,490,,
2026-02-10,14.4,490,,
2026-02-17,14.4,490,,
2026-02-24,14.5,495,,
2026-03-03,14.7,500,,
2026-03-10,15,500,,
2026-03-17,15.2,510,,
2026-03-24,15.6,515,,
2026-03-31,16.2,525,515,533
2026-04-07,16.5,540,520,540
2026-04-21,16.7,555,520,540
2026-04-28,17.2,565,520,540
2026-05-05,17.9,580,520,540
2026-05-12,18.5,605,520,540
2026-05-19,19.5,625,540,560
2026-05-26,20,650,550,570
2026-06-02,20.7,665,550,580
2026-06-08,21.5,680,590,610
